Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Савенко;Вадим;Ярославович;Чоловік;1975-01-13;Психолог;місто Феодосія;проспект Лиманна, буд. 91 кв. 81, Березань , 75010;+380 88 714-08-26;iaryna89@example.com
Зарудний;Клавдія;Федорівна;Жінка;1978-01-27;Конструктор;село Горохів;парк Міцкевича, буд. 839 кв. 28, Шаргород, 05967;620 14 87;vvlokh@example.net
Копитко;Ада;Дмитрівна;Жінка;1990-03-05;Економіст;хутір Мостиська;узвіз Заводська 3-тя, буд. 7, Володимир-Волинський, 05735;+380 79 749-81-26;emiliiaartiukh@example.com
Жученко;Борислав;Вікторович;Чоловік;1975-12-06;Гірничий інженер;місто Тернопіль;проспект Казковий, буд. 281, Берестечко, 60259;048-76-04;nrak@example.org
Рубан;Софія;Юріївна;Жінка;2007-09-20;Ветеринар;хутір Новомиргород;парк Центральний аеропорт, буд. 47, Тернівка , 91436;+380 97 922-05-69;emiliiakopytko@example.net
Короленко;Олег;Володимирович;Чоловік;1959-01-15;Астрофізик;селище Новояворівськ;набережна Заводська, буд. 014 кв. 0, Амвросіївка, 08048;008 795-68-60;wkovpak@example.net
Щербак;Зиновій;Тимофійович;Чоловік;1952-05-30;Епідеміолог;село Географія Вільнянська;вулиця Строганов міст, буд. 1 кв. 5, Переяслав, 26532;020 057-32-28;zaichenkonazar@example.org
Парасюк;Данна;Кузьмівна;Жінка;1956-06-30;Громадський діяч;селище Карлівка;провулок Курганська, буд. 557 кв. 93, Середина-Буда, 17246;+380 24 995 83 92;nazar05@example.com
Гайдай;Борис;Федорович;Чоловік;1995-07-04;Модельєр;село Вільнянськ;площа Лиманчик 2-й Лінія 4-та, буд. 4, Українськ, 84677;058 686-03-48;albert13@example.com
Безбородьки;Роксолана;Володимирівна;Жінка;1951-09-11;Стоматолог;хутір Черкаси;парк Вернидуба, буд. 43, Гайсин, 69310;071 942-52-65;aarondubenko@example.org
Худобʼяк;Олена;Володимирівна;Жінка;2007-10-20;Професор;місто Здолбунів;парк Шостої 1-й, буд. 6 кв. 20, Олевськ, 93932;+380 88 704 31 71;volodymyra21@example.com
Гаврилець;Святослав;Петрович;Чоловік;1997-05-03;Географ;селище Бережани;сквер Зої Космодем’янської, буд. 80 кв. 17, Суми, 14853;048 603 31 01;leontovstolis@example.net
Їжакевич;Єлисавета;Василівна;Жінка;1944-08-26;Зоолог;селище Ясинувата;вулиця Виноградний, буд. 738 кв. 82, Новий Буг, 21583;+380 10 347 44 99;lysenkoarkadii@example.org
Конопленко;Нестор;Олександрович;Чоловік;1994-07-22;Кушнір;село Кипуче;площа Казанська, буд. 56 кв. 751, Полтава, 06604;+380 (84) 175-75-87;snizhana05@example.org
Деряжний;Лілія;Петрівна;Жінка;1980-10-01;Програміст;село Антрацит ;сквер Елеваторна, буд. 01, Южноукраїнськ, 51736;+380 72 402-82-34;alla08@example.com
Негода;Едуард;Федорович;Чоловік;2002-02-23;Кінорежисер;село Луцьк;парк Партизанської Слави, буд. 367, Черкаси, 94345;+380 40 628-33-03;ymakohon@example.org
Устенко;Августин;Іванович;Чоловік;1970-03-20;Промисловець;село Ватутіне;парк Івасюка Володимира, буд. 442, Очаків, 18887;072 758 59 16;viktorartiukh@example.org
Рудько;Юстина;Василівна;Жінка;1996-06-18;Інженер;село Дубно;проспект Обільний 1-й, буд. 461, Ужгород, 45223;046 164-10-48;demian28@example.com
Жаліло;Валентин;Іванович;Чоловік;1948-08-05;Шериф;місто Червоносів;проспект Березовий, буд. 724 кв. 389, Старобільськ, 03186;+380 69 650-26-16;ada91@example.net
Бандера;Аніта;Дмитрівна;Жінка;1940-09-30;Архітектор;місто Снятин;шосе Восьмого березня узвіз, буд. 1 кв. 19, Лубни, 15259;407 44 89;zakhar10@example.com
Верменич;Артем;Тимофійович;Чоловік;1949-05-22;Співак;місто Луганськ;сквер Обільний 1-й, буд. 759 кв. 7, Болехів, 38943;950 08 89;erubets@example.org
Чекалюк;Устим;Георгійович;Чоловік;1975-04-24;Художник;селище Жданівка;вулиця Городня, буд. 727 кв. 582, Бердичів, 07848;+380 09 849 16 41;fromanets@example.org
Охримович;Еріка;Василівна;Жінка;2005-12-08;Льотчик;селище Олександрівськ;провулок Металістів, буд. 123, Іловайськ, 06478;+380 (67) 755-13-35;edyta56@example.org
Якименко;Єлисей;Георгійович;Чоловік;1974-12-31;Геолог;селище Кодима;вулиця Спиридонівська, буд. 1, Тячів, 52865;+380 35 968-24-95;irena30@example.com
Вергун;Альбіна;Олександрівна;Жінка;1966-04-08;Дерун;село Арциз;парк Віцеадмірала Жукова, буд. 15 кв. 7, Мирноград, 71738;973-06-73;sievtushok@example.org
Вернигора;Єлисавета;Федорівна;Жінка;1970-11-17;Ґрунтознавець;селище Вашківці;площа Проїзний 2-й, буд. 930, Старобільськ, 83837;+380 53 737 99 85;adamchukiefrem@example.org
Вдовиченко;Орися;Василівна;Жінка;1973-08-08;Архітектор;місто Вільногірськ;шосе Рельєфна, буд. 87, Часів Яр, 05545;076-99-25;wshvachko@example.com
Венгринович;Орест;Тимофійович;Чоловік;1971-08-05;Графік;місто Новгород-Сіверський;сквер Виноградний, буд. 3, Буринь, 75217;959-23-61;andrii70@example.net
Яковенко;Лукʼян;Олександрович;Чоловік;1967-07-07;Професор;село Дунаївці;проспект 7-ма Лінія Дачі Ковалевського, буд. 2, Очаків, 36357;+380 (35) 659-58-91;svystunbohdanna@example.com
Архипенко;Віолетта;Федорівна;Жінка;1963-08-30;Складальник;хутір Гайворон;проспект Космонавта Комарова, буд. 221, Коломия, 05116;+380 (96) 948-85-21;kievdokymenko@example.net
Кабалюк;Богдан;Анатолійович;Чоловік;1949-03-16;Прокурор;хутір Новоукраїнка;сквер Супутників, буд. 5, Сімферополь, 02920;605-64-15;fomenkoalla@example.org
Рябошапка;Ірина;Володимирівна;Жінка;2005-06-03;Будник;село Надвірна;площа Кипарисний 1-й, буд. 07, Тисмениця, 57103;748-03-82;iatsenkomakar@example.com
Вернигора;Станіслав;Борисович;Чоловік;1939-11-30;Кушнір;місто Білопілля;вулиця Кавунова, буд. 29, Біляївка, 48087;088 014 14 89;olharebryk@example.net
Батюк;Арсен;Вікторович;Чоловік;2001-07-22;Медик;хутір Зміїв;площа Басейний 4-й, буд. 643 кв. 8, Узин, 54338;032 938-31-49;dashkevychstefan@example.org
Тимчук;Герман;Тимофійович;Чоловік;1981-07-21;Електрик;селище Жидачів;проспект Чорноморський 13-й, буд. 2, Калинівка , 25386;865 01 74;spetliura@example.com
Нестеренко;Давид;Георгійович;Чоловік;1995-07-26;Письменник;селище Ізюм;набережна Шептицікого, буд. 0, Звенигородка, 48222;+380 68 607 76 11;svitlanalavrenko@example.com
Ващенко;Олег;Кузьмич;Чоловік;1971-12-06;Бізнесмен;хутір Барвінкове;сквер Банний, буд. 7, Семенівка, 08121;081 926 09 46;solomiialubenets@example.net
Щербань;Марко;Вікторович;Чоловік;1964-11-24;Краєзнавець;село Вінниця;шосе Саксаганського, буд. 89, Рогатин, 32675;017 592-98-87;pylyp24@example.net
Гуцуляк;Богданна;Андріївна;Жінка;1968-10-14;Доцент;місто Апостолове;парк Зоринська, буд. 8, Сніжне, 60320;+380 08 430-39-78;anitazinchenko@example.net
Сімашкевич;Лесь;Кузьмич;Чоловік;1984-11-16;Мовознавець;селище Свалява;провулок Моторний 1-й, буд. 59, Краматорськ, 07389;436-12-95;iustym50@example.org
Ковалюк;Едита;Тимофіївна;Жінка;1986-06-23;Музикант;місто Білицьке;парк Лип Івана та Юрія, буд. 433, Сніжне, 81333;073 067 75 40;liaremchuk@example.org
Карпенко;Сніжана;Іванівна;Жінка;1952-11-01;Скульптор;селище Виноградів;набережна Миколи Гефта, буд. 6, Харків, 88946;+380 70 562-24-01;zlytvynenko@example.net
Арсенич;Святослава;Кузьмівна;Жінка;1949-11-02;Композитор;хутір Тернівка ;проспект Єврейська, буд. 9, Сторожинець, 68104;+380 01 614-64-27;demyddatsenko@example.org
Шовкопляс;Охрім;Федорович;Чоловік;1963-09-23;Кушнір;хутір Скадовськ;вулиця Олександра Невського, буд. 7 кв. 5, Харцизьк, 25033;085 407-59-86;taranieva@example.org
Ажажа;Гліб;Юрійович;Чоловік;1962-07-21;Сантехнік;село Хмельницький;провулок Компасний, буд. 11 кв. 8, Дружківка, 54772;+380 73 717 66 24;talanmyron@example.com
Дрозд;Маруся;Вікторівна;Жінка;1973-12-16;Філолог;місто Могилів-Подільський;провулок Соляний 6-й, буд. 52, Чоп, 34712;001 048 74 65;ibevzenko@example.net
Чумак;Ярослава;Олександрівна;Жінка;1960-01-17;Менеджер;селище Білогірськ;вулиця Тінистий, буд. 1 кв. 446, Болград, 04347;002 634 23 98;levko06@example.org
Юрчишин;Віталій;Олександрович;Чоловік;2000-01-22;Ботанік;село Зимогір'я;сквер Восьмого березня 2-й, буд. 0 кв. 1, Перевальськ, 76901;+380 60 109-24-04;liliiazasenko@example.org
Удовенко;Панас;Дмитрович;Чоловік;1960-09-05;Перекладач;селище Глобине;парк Місячна, буд. 6, Привілля, 07666;325-20-59;umykytiuk@example.com
Бебешко;Гаврило;Тимофійович;Чоловік;2002-03-19;Льотчик;місто Світловодськ;парк Геранієва, буд. 1, Новий Розділ, 91241;+380 (35) 296-03-20;zakharbalaban@example.org
Байрак;Кирило;Петрович;Чоловік;1988-02-04;Няня;хутір Пологи ;проспект 7-ма Лінія Дачі Ковалевського, буд. 2, Путивль, 06784;+380 (85) 273-22-71;bairakielysei@example.org
Швайка;Вікторія;Тимофіївна;Жінка;1960-09-11;Штукатур;село Донецьк;площа Некрасова, буд. 392, Новий Розділ, 54053;032 883 48 70;panaskhorishko@example.org
Ґжицький;Світлана;Дмитрівна;Жінка;1956-02-29;Гірничий інженер;селище Прип'ять ;шосе Травневий 5-й, буд. 39, Кременчук, 03559;+380 76 986 08 32;jdanko@example.com
Бандурка;Гаврило;Георгійович;Чоловік;1959-04-24;Палеонтолог;хутір Ківерці;узвіз Білоруська, буд. 97 кв. 8, Верхньодніпровськ, 75147;097 011 26 59;boleslaviukhymenko@example.net
Голобородько;Пантелеймон;Васильович;Чоловік;2004-12-25;Флорист;село Кипуче;проспект Качалова, буд. 5, Тернопіль, 62290;081 486 95 55;spas38@example.com
Вертипорох;Пріска;Іванівна;Жінка;1977-09-23;Фольклорист;місто Бобровиця;узвіз Мінська, буд. 996 кв. 774, Южне, 38508;+380 14 475-66-11;iukhym57@example.org
Бабич;Давид;Васильович;Чоловік;1967-03-23;Мистецтвознавець;хутір Кремінна;набережна Некрасова, буд. 8, Рівне, 01522;037 533-97-81;emiliia85@example.net
Колодуб;Арсен;Іванович;Чоловік;2005-04-30;Візажист;селище Судак ;шосе Мацієвської, буд. 7 кв. 4, Корсунь-Шевченківський, 98912;+380 56 528 93 03;semen26@example.com
Євтушок;Пантелеймон;Іванович;Чоловік;1946-08-28;Краєзнавець;село Токмак;площа Гладкова, буд. 830, Новий Буг, 82391;+380 68 084-30-92;tymofii93@example.org
Євтушок;Леонід;Іванович;Чоловік;1993-04-04;Доцент;хутір Батурин;узвіз Амундсена, 2-й, буд. 497, Бобринець, 21467;015 362-99-08;zvasylechko@example.net
Лазаренко;Єлисей;Іванович;Чоловік;1963-10-24;Журналіст;місто Бахмач;площа Спартаківська, буд. 15 кв. 103, Хрестівка, 43765;+380 16 554-68-61;akomar@example.org
Євтушенко;Пріска;Кузьмівна;Жінка;1956-04-05;Кушнір;село Чернігів;провулок Суднобудівна, буд. 0, Гайворон, 98623;214-11-04;amaliia85@example.com
Наливайко;Левко;Юрійович;Чоловік;1971-08-11;Фармацевт;село Нікополь;парк Сергія Ядова, буд. 5, Берислав, 99734;+380 (77) 112-89-20;arkhymovychkostiantyn@example.com
Власенко;Омелян;Ярославович;Чоловік;2007-10-04;Фрілансер;місто Новоград-Волинський;узвіз Павла Шклярука, буд. 68, Миргород, 03315;008 483 45 49;eibozhenkoliza@example.net
Юрчишин;Анастасія;Аркадіївна;Жінка;1961-08-04;Архітектор;село Суми;провулок Новікова 2-га, буд. 68 кв. 39, Тисмениця, 59109;+380 33 601-24-27;iefremandreiko@example.org
Москаль;Мирослав;Ярославович;Чоловік;1980-11-09;Літературознавець;селище Борзна;узвіз Задніпровського, буд. 6, Благовіщенське, 74435;+380 86 317-57-33;usyklukian@example.com
Фурс;Богданна;Василівна;Жінка;1948-12-21;Палеонтолог;хутір Світлодарськ;набережна Немировича-Данченка, буд. 62 кв. 36, Алушта, 73660;+380 65 148-15-15;vderiazhnyi@example.com
Худяк;Борис;Петрович;Чоловік;1942-04-21;Бібліотекар;місто Горохів;вулиця Шишкіна 2-й, буд. 40, Калуш, 45283;027 013-41-59;mamchuranastasiia@example.org
Журба;Єлисей;Андрійович;Чоловік;1948-08-12;Випробувач;селище Амвросіївка;площа Пересипська 4-та, буд. 8 кв. 981, Горлівка, 25342;+380 (24) 091-62-48;danylo90@example.net
Удовиченко;Ганна;Федорівна;Жінка;2003-09-19;Композитор;село Євпаторія;шосе Дністровська, буд. 55 кв. 4, Амвросіївка, 61200;+380 57 671-61-27;khoma75@example.com
Шило;Ліза;Василівна;Жінка;2005-06-09;Модельєр;селище Гайсин;набережна Ланжеронівська, буд. 56, Балта, 26649;+380 84 141-60-07;fesenkoleopold@example.net
Стус;Демид;Володимирович;Чоловік;2001-04-29;Драматург;хутір Яворів;вулиця Кострова, буд. 649 кв. 878, Дубровиця, 34777;+380 35 036-12-20;oleksandr41@example.com
Яремків;Пріска;Юріївна;Жінка;1976-10-08;Архітектор;хутір Татарбунари;набережна Добровольського, буд. 7 кв. 1, Житомир, 49051;442 48 94;dankodaryna@example.net
Шеремета;Роксолана;Петрівна;Жінка;1988-04-13;Локсмайстер;селище Рудки;узвіз Висоцького, буд. 7, Городок, 37838;+380 28 627-15-39;panteleimoniakymenko@example.org
Дробʼязко;Олекса;Дмитрович;Чоловік;1991-03-28;Адвокат;місто Вараш;узвіз Аполона Скальковського, буд. 31, Новогродівка, 99931;087 951 44 40;valerii32@example.org
Петрик;Степан;Сергійович;Чоловік;1957-04-30;Фізик;село Сніжне;набережна Горбиста, буд. 337, Ірміно, 95639;+380 90 041 43 30;kyrylenkoolha@example.net
Гречко;Богуслава;Дмитрівна;Жінка;1985-01-05;Скульптор;село Лиман ;узвіз Велика Арнаутська, буд. 32 кв. 5, Корюківка, 98060;081 144-31-25;vadym26@example.com
Фастенко;Хома;Андрійович;Чоловік;2008-09-01;Бібліотекар;село Соледар;шосе Павла Кравцова, буд. 184, Камінь-Каширський, 58810;430 18 58;mazepadaryna@example.org
Ґерус;Августин;Ярославович;Чоловік;1965-03-26;Складальник;селище Сніжне;проспект Ювілейний 1-й, буд. 42 кв. 81, Ізмаїл, 57461;087 837 50 87;gorlyk@example.org
Охріменко;Соломон;Євгенович;Чоловік;1973-05-17;Краєзнавець;хутір Петрово-Красносілля;провулок Бессарабська, буд. 49 кв. 399, Рубіжне, 42403;+380 (53) 748-10-21;bandroshchuk@example.org
Ірванець;Орест;Тимофійович;Чоловік;2007-08-16;Електрик;місто Ланівці;вулиця Пересипська 2-га, буд. 394, Монастириська, 09507;069 092-49-21;demydriaboshapka@example.org
Ґжицький;Охрім;Аркадійович;Чоловік;1938-04-29;Дерун;селище Бунге ;набережна Тарутинська, буд. 51 кв. 056, Остер , 32123;+380 95 494-37-29;leopoldsalii@example.com
Хорішко;Максим;Володимирович;Чоловік;2007-07-15;Інженер;хутір Бобровиця;проспект Гвоздична, буд. 2 кв. 943, Дніпрорудне, 54241;+380 20 064-57-31;gshmorhun@example.org
Гаврюшенко;Григорій;Іванович;Чоловік;2005-01-19;Професор;хутір Стебник;провулок Рожева, буд. 2, Довжанськ, 70199;396 42 46;boryslav43@example.org
Петлюра;Петро;Кузьмич;Чоловік;1948-06-18;Хімік;місто Верхньодніпровськ;шосе Монастирський, буд. 557, Гребінка, 65197;079 495 49 30;volodymyra39@example.net
Стельмах;Іван;Петрович;Чоловік;1940-06-12;Фізик;місто Українськ;шосе Платанова, буд. 5 кв. 74, Кам'янка-Бузька, 89235;+380 72 770-34-04;milena92@example.net
Данильчук;Богуслава;Сергіївна;Жінка;1998-12-19;Продюсер;селище Пологи ;набережна Амундсена, 3-й, буд. 971 кв. 30, Умань, 43015;099 861-19-16;romaniakovenko@example.net
Байрак;Устим;Євгенович;Чоловік;1998-02-19;Детектив;місто Заводське;площа Дубова, буд. 879 кв. 49, Скадовськ, 36333;+380 19 986 27 24;zatulamartyn@example.net
Павлик;Юстина;Володимирівна;Жінка;1973-11-05;Актор;селище Євпаторія;вулиця Савранська, буд. 8 кв. 0, Городище , 06944;+380 51 062 11 41;pylypenkomykhailyna@example.com
Рябченко;Нестор;Васильович;Чоловік;1975-10-19;Лікар;хутір Мала Виска;узвіз Лузанівська, буд. 1 кв. 144, Тетіїв, 03170;+380 03 786 53 27;amvrosiikopytko@example.net
Цюпа;Любов;Анатоліївна;Жінка;2001-12-21;Драматург;селище Алушта;парк Лазурний 1-й, буд. 05, Старий Самбір, 17892;055 768-92-22;iustym48@example.org
Вернидуб;Василь;Борисович;Чоловік;1979-12-17;Кінолог;селище Куп'янськ;парк Спартаківський, буд. 370, Кролевець, 21771;024 295 82 39;valentyn51@example.org
Андрієнко;Ада;Володимирівна;Жінка;1989-02-09;Машиніст;хутір Зугрес;узвіз 11-та Лінія Марії Демченко, буд. 1 кв. 25, Новгород-Сіверський, 52696;127 57 11;marynadavydenko@example.org
Бабич;Сніжана;Анатоліївна;Жінка;1951-01-24;Менеджер;місто Докучаєвськ;сквер Українська, буд. 72, Тростянець, 70910;038 628 85 84;ielysavetasirko@example.com
Вертипорох;Данило;Іванович;Чоловік;1981-10-01;Патологоанатом;місто Нікополь;шосе Обсерваторний, буд. 84 кв. 73, Апостолове, 70855;+380 09 131-73-45;markozaporozhets@example.com
Талан;Ігор;Петрович;Чоловік;1983-05-19;Актор;село Червоноград;парк Чапаєва, буд. 08, Щолкіне, 08777;361-27-70;hopanasenko@example.net
Девдюк;Остап;Кузьмич;Чоловік;1944-11-18;Сантехнік;село Красноперекопськ;вулиця Академіка Векслера, буд. 86 кв. 70, Благовіщенське, 21319;015 256-04-46;xverhun@example.org
Чуприна;Орхип;Юрійович;Чоловік;1994-10-18;Модель;селище Олешки;узвіз Мельницька, буд. 217, Золотоноша, 27199;+380 20 151 56 29;vasylevychroman@example.com
Ребрик;Павло;Кузьмич;Чоловік;1950-03-14;Парфюмер;місто Рівне;провулок Достоєвського, буд. 21, Кодима, 64743;481 98 94;lespetliura@example.org
Удовиченко;Дан;Іванович;Чоловік;1996-10-07;Клоун;село Вилкове;провулок Лінія 43-тя, буд. 52, Коростишів, 57609;035 303-22-54;viacheslavvlasenko@example.com
Ніколюк;Яків;Андрійович;Чоловік;1952-05-26;Фольклорист;місто Білозерське;площа Західний 3-й, буд. 34, Мостиська, 39567;832-56-40;rubetssymon@example.net
Акуленко;Володимир;Сергійович;Чоловік;2008-05-21;Музичний редактор;хутір Семенівка;набережна Місячна, буд. 446 кв. 710, Генічеськ, 25150;299 35 63;kabanenkomarko@example.com
Комар;Володимира;Вікторівна;Жінка;1968-11-10;Актор;місто Енергодар;шосе 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 0 кв. 5, Снігурівка, 22039;172 09 28;vasylechkomartyn@example.net
Супруненко;Валентина;Тимофіївна;Жінка;1963-01-30;Електромонтажник;село Ірміно;вулиця Картамишевська, буд. 1, Хрустальний, 59718;+380 70 971-72-24;mariia21@example.org
Годунок;Марко;Федорович;Чоловік;1952-09-20;Ветеринар;місто Вижниця;проспект Уютна, буд. 84 кв. 404, Макіївка, 14765;085 241-04-97;jkabanenko@example.com
Аверченко;Ліза;Аркадіївна;Жінка;1993-01-10;Медик;місто Мукачево;узвіз Варненська, буд. 86 кв. 42, Хрустальний, 05379;+380 57 168-76-57;liliiaokhrymovych@example.net
Батюк;Омелян;Іванович;Чоловік;1972-10-08;Кіноактор;хутір Чернігів;набережна Терещенка Володимира, буд. 588, Зоринськ, 18715;867 26 91;shevchenkoleon@example.org
Тесля;Софія;Кузьмівна;Жінка;1978-10-30;Ветеринар;селище Новодністровськ;сквер Лінія 29-та, буд. 537, Кам'янка (Черкаська область), 04885;+380 59 923-30-05;odarkasheremet@example.org
Тесленко;Світлана;Михайлівна;Жінка;1968-05-12;Історик;село Торецьк;провулок Далекосхідна, буд. 36, Хрестівка, 45778;+380 (05) 431-42-26;liudmylaskopenko@example.net
Жаліло;Віра;Сергіївна;Жінка;1981-12-17;Астрофізик;село Хирів;узвіз Варненська, буд. 302 кв. 67, Тисмениця, 73019;+380 (47) 053-58-04;ustym98@example.com
Гайда;Михайло;Олександрович;Чоловік;1965-11-28;Стоматолог;селище Богуслав;набережна Дунаєвського, буд. 409 кв. 99, Коломия, 42138;083 715 32 99;nreva@example.net
Засуха;Болеслав;Євгенович;Чоловік;1977-01-31;Реабілітолог;місто Бібрка;вулиця Металістів, буд. 9 кв. 595, Вишгород, 17610;+380 22 175-68-43;shakhraivolodymyra@example.org
Рубець;Клавдія;Юріївна;Жінка;1967-05-13;Фотограф;місто Вуглегірськ;вулиця Лиманчик 2-й Лінія 9-та, буд. 3 кв. 74, Миколаївка , 54385;552 54 69;iryna51@example.org
Баранник;Демʼян;Іванович;Чоловік;1986-12-03;Композитор;хутір Миколаївка ;сквер Безіменний, буд. 44, Токмак, 47869;+380 57 178 39 14;olha88@example.org
Москаль;Ганна;Вікторівна;Жінка;1968-02-27;Літературознавець;хутір Дебальцеве;площа Подільська, буд. 74, Долина , 01548;+380 45 310 22 62;feofan28@example.org
Чайка;Олег;Дмитрович;Чоловік;1947-09-20;Швачка;село Сватове;проспект Вершинна, буд. 7, Прип'ять , 72564;+380 (80) 652-61-59;stefanveres@example.net
Медведенко;Віра;Василівна;Жінка;1960-09-15;Клавішник;місто Городня;узвіз Лінія 23-тя, буд. 3, Білогірськ, 43544;283-72-11;valentynaderhach@example.com
Короленко;Демид;Анатолійович;Чоловік;1994-12-17;Штукатур;місто Попасна;шосе Ширшова, буд. 14, Саки , 74590;572-16-18;valenkonataliia@example.com
Василевич;Надія;Юріївна;Жінка;1962-10-25;Петрограф;село Суми;парк Покровський, буд. 417, Сніжне, 71475;+380 79 063-99-49;lzhuravel@example.net
Аронець;Лілія;Аркадіївна;Жінка;1997-01-31;Електромонтер;селище Золоте;шосе Перемоги, буд. 66 кв. 31, Нове Давидково, 10419;+380 02 582-15-75;orkhyprudyk@example.org
Гук;Святослава;Іванівна;Жінка;2004-09-16;Краєзнавець;місто Снігурівка;проспект Ямчитського, буд. 89, Ватутіне, 09127;+380 (93) 048-08-44;havryloumanets@example.net
Воблий;Дмитро;Георгійович;Чоловік;1946-05-30;Піаніст;хутір Василівка ;узвіз Новгородський, буд. 440 кв. 90, Джанкой, 46261;+380 (02) 391-30-00;shcherbakhlib@example.net
Негода;Ярослава;Юріївна;Жінка;1999-11-20;Ботанік;селище Лебедин;узвіз Ільфа і Петрова, буд. 0 кв. 404, Свалява, 25339;+380 (75) 884-65-07;okozachenko@example.org
Наливайко;Василина;Василівна;Жінка;1943-05-05;Кінорежисер;хутір Сквира;набережна Верхня, буд. 8 кв. 18, Судак , 81188;+380 81 742-49-33;pizhak@example.org
Швайка;Пріска;Георгіївна;Жінка;1969-01-31;Маркетолог;місто Кременчук;сквер Жоліо-Кюрі, буд. 69 кв. 6, Чорнобиль, 66108;056 011 16 86;frantskomar@example.net
Онищенко;Михайло;Петрович;Чоловік;1995-02-07;Пекар;хутір Белз;набережна Наявний 6-й, буд. 975 кв. 094, Тетіїв, 53407;019 757 64 84;rostyslav77@example.com
Піддубний;Сергій;Володимирович;Чоловік;2007-11-24;Дизайнер;хутір Сніжне;парк Новгородський 2-й, буд. 305, Новий Буг, 55076;000 951-38-29;khomahutsuliak@example.net
Байрак;Тимофій;Кузьмич;Чоловік;1970-05-15;Фотограф;місто Борщів;шосе Більшовицький, буд. 132, Бурштин , 66791;136 87 36;idankevych@example.net
Дашкевич;Людмила;Євгенівна;Жінка;1938-10-30;Геофізик;хутір Старий Крим;узвіз Василя Кандинського 5-й, буд. 80 кв. 418, Сокиряни, 93023;399-22-84;amazepa@example.net
Дурдинець;Ірена;Іванівна;Жінка;1971-05-31;Дантист;селище Миронівка;площа Кренкеля, буд. 6 кв. 4, Ізмаїл, 20429;+380 (22) 477-85-68;czhurba@example.net
Наливайко;Галина;Анатоліївна;Жінка;1942-01-26;Кінокритик;місто Костянтинівка;проспект Пересипська 9-та, буд. 33, Верхівцеве, 18034;+380 55 748-16-13;kadeniukpanas@example.com
Гресь;Іван;Петрович;Чоловік;1979-10-01;Фотограф;хутір Почаїв;проспект Довга, буд. 072 кв. 6, Амвросіївка, 43093;040 539-72-00;zlatoslava35@example.com
Стельмах;Роман;Федорович;Чоловік;1954-01-25;Детектив;хутір Лиман ;набережна Естонський, буд. 455 кв. 223, Горішні Плавні, 98607;075 818 56 76;viktoriiaievtushok@example.com
Кабаненко;Демид;Тимофійович;Чоловік;1983-05-15;Гицель;хутір Алушта;шосе Тимірязєва, буд. 79 кв. 57, Сніжне, 44476;+380 29 889-16-81;rozaliiavashchenko-zakharchenko@example.org
Франчук;Людмила;Федорівна;Жінка;2000-02-04;Клавішник;село Бахчисарай;вулиця Лузанівка, буд. 3, Маріуполь, 44115;+380 28 918-09-19;stepanmykytiuk@example.com
Верменич;Василина;Анатоліївна;Жінка;1946-02-03;Педагог;селище Старобільськ;вулиця Новощіпний ряд, буд. 6 кв. 3, Кілія, 91245;+380 (26) 107-50-00;milena08@example.com
Гавришкевич;Оксенія;Анатоліївна;Жінка;1953-11-01;Перекладач;село Славутич;провулок Покровський, буд. 569, Вінниця, 88205;080-74-43;spalii@example.net
Ажажа;Ірена;Борисівна;Жінка;1958-09-17;Агроном;селище Решетилівка;парк Ямська, буд. 3, Ямпіль, 74728;294-23-69;zakhar00@example.org
Зінчук;Соломія;Ярославівна;Жінка;1944-06-01;Намотувальник;селище Судак ;провулок Овідіопольська дуга, буд. 82 кв. 8, Світловодськ, 71881;932-40-16;suprunenkofeofan@example.net
Щириця;Мілена;Василівна;Жінка;1939-11-05;Драматург;хутір Чорноморськ;сквер Академіка Корольова, буд. 975 кв. 1, Хирів, 24990;+380 26 857-51-82;symongzhytskyi@example.com
Рябовіл;Тарас;Олександрович;Чоловік;1947-03-11;Громадський діяч;селище Стрий;провулок Тюльпанний, буд. 8, Березівка, 38603;053 982-03-05;martynshakhrai@example.org
Євтушенко;Єфрем;Тимофійович;Чоловік;1950-02-23;Філолог;селище Білгород-Дністровський;шосе Калинова, буд. 1, Молочанськ, 67987;+380 57 715-88-55;solomiia21@example.com
Вакуленко;Дмитро;Кузьмич;Чоловік;2005-09-23;Прокурор;селище Корець;сквер Кренкеля, буд. 6, Нова Одеса, 01426;068 529-35-59;halyna20@example.net
Артюшенко;Алла;Андріївна;Жінка;1988-06-13;Режисер;селище Молочанськ;сквер Дальницька, буд. 6, Моспине, 30307;743 57 61;hryhorii73@example.com
Ємець;Феофан;Ярославович;Чоловік;1985-06-08;М'ясник;хутір Новий Буг;шосе Дніпровська, буд. 775 кв. 9, Березне, 08821;+380 23 829 72 32;dannapetrenko@example.com
Скорик;Едуард;Кузьмич;Чоловік;1949-09-07;Кінорежисер;село Судак ;площа Бородінська, буд. 74, Володимир-Волинський, 47495;+380 70 309-50-28;masokharoman@example.org
Ярош;Лариса;Олександрівна;Жінка;1975-05-14;Режисер;село Хрустальний;набережна Ольгіївська, буд. 126 кв. 306, Тлумач, 51727;+380 (43) 314-83-05;valeriidavydenko@example.com
